;; ;;Palgainfo;;;Ettevõtete arv;;;;Töötajatega ettevõtete arv  ;;;Käibemaksuinfo;;;;Tööjõumaksud;
KUU;MAAKOND;KOHALIK OMAVALITSUS;TEGEVUSALA;Keskmine palk sellel tegevusalal omavalitsuse territooriumil tegutsevates ettevõtetes (eurodes);Keskmine palk Eestis (eurodes);Keskmine palk sellel tegevusalal (eurodes);Juriidiliste isikute arv omavalitsuses;Tegutsevate ettevõtete arv omavalitsuses;Tegutsevate ettevõtete arv Eestis;Tegutsevate ettevõtete arv sellel tegevusalal  ;Töötajatega ettevõtete arv omavalitsuses;Töötajatega ettevõtete arv Eestis;Töötajatega ettevõtete arv sellel tegevusalal Eestis;Deklaratsiooni KMD esitavate juriidiliste isikute arv omavalitsuses;Käive kokku (eurodes);Eksport  (eurodes);Tasumisele kuuluv käibemaks (eurodes);Omavalitsuse tööandjate deklaratsioonis TSD märgitud töötajate arv;Omavalitsuse tööandjate  deklareeritud tööjõumaksud (eurodes)
1;Harju maakond;KOSE VALD;HARIDUS;1043;1987;2265;42;4;93709;1420;3;61219;998;5;15545;0;1842;4;1305
1;Harju maakond;KOSE VALD;TERVISHOID JA SOTSIAALHOOLEKANNE;2630;1987;2673;18;8;93709;1715;8;61219;1613;1;0;0;0;105;104962
1;Harju maakond;KOSE VALD;KUNST, MEELELAHUTUS JA VABA AEG;1462;1987;1652;134;12;93709;2338;10;61219;1376;10;49076;0;1310;31;9348
1;Harju maakond;KOSE VALD;MUUD TEENINDAVAD TEGEVUSED;966;1987;1365;135;19;93709;4429;14;61219;3685;13;96646;32547;4603;17;3609
1;Harju maakond;KOSE VALD;Tegevusala määramata;;1987;1712;5;;93709;14;;61219;9;0;0;0;0;;
1;Harju maakond;KUUSALU VALD;PÕLLUMAJANDUS, METSAMAJANDUS JA KALAPÜÜK;1497;1987;1508;101;34;93709;3856;26;61219;2714;55;1188186;0;72755;91;63531
1;Harju maakond;KUUSALU VALD;MÄETÖÖSTUS;2255;1987;2043;3;3;93709;122;2;61219;101;3;136490;0;13159;20;23150
1;Harju maakond;KUUSALU VALD;TÖÖTLEV TÖÖSTUS;1522;1987;1689;111;39;93709;7120;28;61219;5613;54;4601687;374665;-66726;420;323164
1;Harju maakond;KUUSALU VALD;ELEKTRIENERGIA, GAASI, AURU JA KONDITSIONEERITUD ÕHUGA VARUSTAMINE;;1987;2532;4;2;93709;661;;61219;172;3;13929;0;2074;;
1;Harju maakond;KUUSALU VALD;"VEEVARUSTUS; KANALISATSIOON, JÄÄTME- JA SAASTEKÄITLUS";1362;1987;1832;17;3;93709;261;2;61219;213;3;510949;0;25712;33;21497
